,,,6/10,1:00,,,2:00,,,3:00,,,,9:00,,,10:00,,,11:00,,,12:00,,,13:00,,,14:00,,,15:00,,,16:00,,,17:00,,,18:00,,,19:00,,,20:00,,,21:00,,,22:00,,,23:00,,6/11,,0:00,,,1:00,,2:00,,3:00,
區域,租賃站點查詢,車柱數量,,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,,,,
大安區,捷運科技大樓站,11,,6,5,0,6,5,0,6,5,,-4,2,15,-2,0,17,1,1,16,1,2,15,1,3,14,-3,0,17,6,6,11,-6,0,17,9,9,8,-1,8,9,-1,7,10,-5,2,15,15,17,0,-7,10,7,-1,9,3,,1,10,2,-2,8,4,,,,
大安區,復興南路二段273號前,15,,11,4,0,11,4,0,11,4,,-10,1,14,-1,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,1,1,14,4,5,10,4,9,6,0,9,6,-3,6,9,6,12,3,3,15,0,-3,12,3,,-1,11,4,-1,10,5,,,,
大安區,國北教大實小東側門,16,,9,7,0,9,7,0,9,7,,-7,2,14,-1,1,15,0,1,15,0,1,15,2,3,13,0,3,13,-1,2,14,-2,0,16,3,3,13,1,4,12,1,5,11,6,11,5,0,11,5,5,16,0,0,16,0,,0,16,0,-12,4,12,,,,
大安區,和平公園東側,11,,7,4,1,8,3,0,8,3,,-6,2,9,-1,1,10,-1,0,11,3,3,8,0,3,8,-2,1,10,0,1,10,1,2,9,6,8,3,-1,7,4,-1,6,5,-5,1,10,0,1,10,-1,0,11,1,1,10,,0,1,10,2,3,8,,,,
大安區,辛亥復興路口西北側,16,,1,15,0,1,15,0,1,15,,3,4,12,-4,0,16,0,0,16,0,0,16,2,2,14,-1,1,15,-1,0,16,2,2,14,1,3,13,-2,1,15,1,2,14,-2,0,16,0,0,16,1,1,15,1,2,14,,1,3,13,0,3,13,,,,
大安區,復興南路二段280號前,11,,6,5,0,6,5,0,6,5,,-4,2,9,-2,0,11,0,0,11,2,2,9,-2,0,11,0,0,11,1,1,10,1,2,9,2,4,7,0,4,7,1,5,6,-1,4,7,-1,3,8,6,9,2,0,9,2,,1,10,1,-3,7,4,,,,
大安區,復興南路二段340巷口,11,,1,10,0,1,10,0,1,10,,0,1,10,-1,0,11,0,0,11,2,2,9,-2,0,11,2,2,9,-2,0,11,2,2,9,-2,0,11,0,0,11,2,2,9,1,3,8,-2,1,10,1,2,9,0,2,9,,0,2,9,0,2,9,,,,
大安區,新生南路三段52號前,17,,16,1,0,16,1,0,16,1,,-16,0,17,0,0,17,1,1,16,2,3,14,0,3,14,-1,2,15,0,2,15,1,3,14,2,5,12,-1,4,13,1,5,12,-3,2,15,0,2,15,4,6,11,0,6,11,,0,6,11,0,6,11,,,,
大安區,新生南路三段82號前,20,,2,18,-1,1,19,0,1,19,,-1,0,20,0,0,20,0,0,20,9,9,11,2,11,9,-10,1,19,2,3,17,-2,1,19,11,12,8,8,20,0,-4,16,4,-16,0,20,4,4,16,-4,0,20,1,1,19,,-1,0,20,3,3,17,,,,
大安區,羅斯福路三段333巷9號旁,7,,0,7,0,0,7,0,0,7,,0,0,7,0,0,7,1,1,6,6,7,0,0,7,0,-6,1,6,0,1,6,0,1,6,6,7,0,-4,3,4,-2,1,6,4,5,2,-3,2,5,1,3,4,0,3,4,,-1,2,5,-1,1,6,,,,
大安區,辛亥路一段30號前,8,,3,5,1,4,4,0,4,4,,-4,0,8,0,0,8,0,0,8,0,0,8,1,1,7,0,1,7,0,1,7,0,1,7,6,7,1,1,8,0,0,8,0,-5,3,5,1,4,4,2,6,2,0,6,2,,2,8,0,-4,4,4,,,,
大安區,羅斯福路三段311號前,11,,2,8,0,2,8,-1,1,9,,-1,0,10,0,0,11,0,0,11,3,3,8,3,6,5,-5,1,10,-1,0,11,2,2,9,-2,0,11,5,5,6,3,8,3,2,10,1,-5,5,6,2,7,4,-1,6,5,,1,7,4,1,8,3,,,,
大安區,羅斯福路三段245號前,8,,3,5,0,3,5,0,3,5,,-3,0,8,1,1,7,-1,0,8,0,0,8,1,1,7,-1,0,8,1,1,7,-1,0,8,4,4,4,4,8,0,-1,7,1,-7,0,8,7,7,1,-1,6,2,-1,5,3,,2,7,1,-3,4,4,,,,
大安區,大安運動中心停車場,14,,2,12,0,2,12,0,2,12,,-2,0,14,1,1,13,-1,0,14,0,0,14,1,1,13,-1,0,14,0,0,14,0,0,14,4,4,10,-4,0,14,6,6,8,-3,3,11,0,3,11,0,3,11,1,4,10,,2,6,8,2,8,6,,,,
大安區,羅斯福路三段269巷5號前,10,,3,7,0,3,7,0,3,7,,-3,0,10,0,0,10,0,0,10,0,0,10,6,6,4,-4,2,8,0,2,8,-2,0,10,1,1,9,4,5,5,-2,3,7,0,3,7,3,6,4,-3,3,7,0,3,7,,1,4,6,3,7,3,,,,
大安區,溫州公園,5,,5,0,0,5,0,0,5,0,,-5,0,5,0,0,5,0,0,5,3,3,2,-3,0,5,1,1,4,0,1,4,0,1,4,0,1,4,0,1,4,3,4,1,-3,1,4,0,1,4,2,3,2,-1,2,3,,1,3,2,1,4,1,,,,
大安區,和平臥龍街口,15,,11,4,0,11,4,1,12,3,,-6,6,9,-5,1,14,1,2,13,-1,1,14,-1,0,15,0,0,15,0,0,15,0,0,15,2,2,13,0,2,13,-1,1,14,2,3,12,-2,1,14,6,7,8,0,7,8,,-1,6,9,3,9,6,,,,
大安區,溫州停車場,5,,0,5,0,0,5,0,0,5,,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,1,1,4,0,1,4,0,1,4,1,2,3,0,2,3,-1,1,4,3,4,1,0,4,1,,-2,2,3,1,3,2,,,,
大安區,銘傳國小側門,7,,1,6,0,1,6,0,1,6,,-1,0,7,1,1,6,-1,0,7,5,5,2,-3,2,5,-2,0,7,1,1,6,5,6,1,0,6,1,0,6,1,-5,1,6,5,6,1,-1,5,2,-3,2,5,0,2,5,,-1,1,6,0,1,6,,,,
大安區,第二學生活動中心,27,,0,27,0,0,27,0,0,27,,1,1,26,0,1,26,-1,0,27,5,5,22,3,8,19,-2,6,21,6,12,15,-8,4,23,8,12,15,0,12,15,3,15,12,-5,10,17,-6,4,23,-2,2,25,1,3,24,,0,3,24,-1,2,25,,,,
大安區,臺灣科技大學正門,30,,0,30,0,0,30,0,0,30,,10,10,20,-1,9,21,1,10,20,3,13,17,1,14,16,-3,11,19,0,11,19,-1,10,20,-7,3,27,-1,2,28,-2,0,30,0,0,30,0,0,30,0,0,30,0,0,30,,0,0,30,0,0,30,,,,
大安區,臺灣科技大學側門,12,,0,12,0,0,12,0,0,12,,9,9,3,2,11,1,-9,2,9,2,4,8,4,8,4,-3,5,7,3,8,4,-6,2,10,-2,0,12,0,0,12,1,1,11,1,2,10,0,2,10,-2,0,12,1,1,11,,-1,0,12,0,0,12,,,,
大安區,公館公園,15,,1,14,0,1,14,-1,0,15,,7,7,8,-2,5,10,1,6,9,3,9,6,1,10,5,1,11,4,-1,10,5,-3,7,8,-4,3,12,-2,1,14,-1,0,15,1,1,14,-1,0,15,0,0,15,0,0,15,,0,0,15,0,0,15,,,,
大安區,臺灣科技大學後門,15,,5,10,0,5,10,0,5,10,,5,10,5,-1,9,6,2,11,4,-2,9,6,-6,3,12,-2,1,14,4,5,10,8,13,2,-11,2,13,-2,0,15,0,0,15,4,4,11,-1,3,12,0,3,12,0,3,12,,-1,2,13,2,4,11,,,,
大安區,臺大醫學院附設癌醫中心,20,,7,13,0,7,13,0,7,13,,-1,6,14,2,8,12,3,11,9,-5,6,14,-1,5,15,2,7,13,4,11,9,-3,8,12,-2,6,14,-3,3,17,-2,1,19,1,2,18,0,2,18,0,2,18,0,2,18,,-1,1,19,0,1,19,,,,
大安區,臺大環研大樓,15,,8,7,0,8,7,0,8,7,,-4,4,11,2,6,9,-3,3,12,1,4,11,2,6,9,0,6,9,-1,5,10,-2,3,12,-3,0,15,0,0,15,0,0,15,2,2,13,4,6,9,-2,4,11,1,5,10,,0,5,10,0,5,10,,,,
大安區,臺大永齡生醫工程館,15,,0,15,0,0,15,0,0,15,,9,9,6,0,9,6,0,9,6,-4,5,10,-2,3,12,6,9,6,3,12,3,-6,6,9,-6,0,15,0,0,15,0,0,15,1,1,14,1,2,13,-2,0,15,0,0,15,,0,0,15,0,0,15,,,,
大安區,臺大男七舍前,20,,12,8,0,12,8,1,13,7,,0,13,7,-5,8,12,-2,6,14,-6,0,20,1,1,19,0,1,19,-1,0,20,8,8,12,-8,0,20,0,0,20,0,0,20,1,1,19,1,2,18,0,2,18,0,2,18,,-2,0,20,2,2,18,,,,
大安區,臺大男一舍前,32,,14,18,1,15,17,1,16,16,,-16,0,32,0,0,32,0,0,32,1,1,31,-1,0,32,0,0,32,1,1,31,2,3,29,-2,1,31,-1,0,32,1,1,31,2,3,29,0,3,29,4,7,25,0,7,25,,4,11,21,2,13,19,,,,
大安區,臺大男六舍前,20,,14,6,1,15,5,-1,14,6,,-13,1,19,-1,0,20,0,0,20,0,0,20,0,0,20,0,0,20,4,4,16,-4,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,1,1,19,0,1,19,,1,2,18,3,5,15,,,,
大安區,臺大動物醫院前,18,,0,18,0,0,18,0,0,18,,8,8,10,-3,5,13,-4,1,17,1,2,16,2,4,14,-2,2,16,-1,1,17,1,2,16,-1,1,17,-1,0,18,0,0,18,2,2,16,-2,0,18,0,0,18,0,0,18,,0,0,18,0,0,18,,,,
大安區,臺大土木研究大樓前,11,,1,10,0,1,10,-1,0,11,,6,6,5,1,7,4,0,7,4,-1,6,5,-2,4,7,3,7,4,3,10,1,-3,7,4,2,9,2,1,10,1,-6,4,7,0,4,7,-3,1,10,0,1,10,0,1,10,,-1,0,11,0,0,11,,,,
大安區,臺大萬才館前,20,,1,19,-1,0,20,0,0,20,,5,5,15,-1,4,16,0,4,16,-1,3,17,-1,2,18,1,3,17,-2,1,19,1,2,18,12,14,6,1,15,5,-2,13,7,2,15,5,0,15,5,-6,9,11,0,9,11,,-1,8,12,0,8,12,,,,
大安區,臺大國青大樓宿舍前,20,,5,15,0,5,15,0,5,15,,-4,1,19,1,2,18,-2,0,20,2,2,18,0,2,18,0,2,18,-1,1,19,3,4,16,-4,0,20,1,1,19,-1,0,20,4,4,16,-1,3,17,2,5,15,0,5,15,,-1,4,16,3,7,13,,,,
大安區,臺大社科院圖書館前,27,,2,25,0,2,25,-1,1,26,,4,5,22,-2,3,24,-3,0,27,2,2,25,1,3,24,11,14,13,-2,12,15,-12,0,27,1,1,26,11,12,15,-11,1,26,10,11,16,-8,3,24,9,12,15,-6,6,21,,-5,1,26,6,7,20,,,,
大安區,臺大法人語言訓練中心前,28,,0,28,0,0,28,0,0,28,,3,3,25,1,4,24,-4,0,28,0,0,28,2,2,26,4,6,22,1,7,21,-2,5,23,-5,0,28,2,2,26,-2,0,28,0,0,28,3,3,25,-3,0,28,0,0,28,,13,13,15,-2,11,17,,,,
大安區,臺大綜合體育館停車場前,25,,0,25,0,0,25,0,0,25,,2,2,23,-2,0,25,1,1,24,0,1,24,-1,0,25,4,4,21,0,4,21,-1,3,22,0,3,22,-1,2,23,1,3,22,0,3,22,1,4,21,-1,3,22,0,3,22,,-1,2,23,1,3,22,,,,
大安區,辛亥新生路口東南側,21,,6,15,0,6,15,0,6,15,,-6,0,21,0,0,21,0,0,21,0,0,21,1,1,20,-1,0,21,2,2,19,5,7,14,5,12,9,3,15,6,5,20,1,-8,12,9,-2,10,11,-4,6,15,1,7,14,,0,7,14,-1,6,15,,,,
大安區,基隆長興路口東側,15,,9,6,1,10,5,1,11,4,,-10,1,14,-1,0,15,0,0,15,0,0,15,1,1,14,0,1,14,-1,0,15,0,0,15,0,0,15,0,0,15,0,0,15,5,5,10,-4,1,14,4,5,10,2,7,8,,4,11,4,4,15,0,,,,
大安區,國北教大側門南側,28,,1,27,0,1,27,0,1,27,,5,6,22,-2,4,24,-3,1,27,-1,0,28,0,0,28,2,2,26,-2,0,28,1,1,27,-1,0,28,1,1,27,-1,0,28,1,1,27,1,2,26,-1,1,27,0,1,27,,0,1,27,1,2,26,,,,
大安區,和平實小東北側,13,,5,8,0,5,8,0,5,8,,-4,1,12,1,2,11,-1,1,12,-1,0,13,0,0,13,8,8,5,1,9,4,-1,8,5,-2,6,7,2,8,5,-1,7,6,-1,6,7,-2,4,9,1,5,8,0,5,8,,0,5,8,0,5,8,,,,
大安區,大安區健康服務中心,15,,3,12,0,3,12,0,3,12,,-1,2,13,-2,0,15,0,0,15,0,0,15,0,0,15,1,1,14,-1,0,15,1,1,14,-1,0,15,2,2,13,0,2,13,-1,1,14,0,1,14,-1,0,15,0,0,15,,0,0,15,1,1,14,,,,
中正區,臺北自來水事業處,20,,11,9,0,11,9,0,11,9,,-10,1,19,-1,0,20,0,0,20,0,0,20,2,2,18,-1,1,19,-1,0,20,2,2,18,4,6,14,-1,5,15,2,7,13,-1,6,14,6,12,8,1,13,7,0,13,7,,0,13,7,-1,12,8,,,,
中正區,汀州思源街口東南側,20,,4,16,0,4,16,0,4,16,,-4,0,20,0,0,20,0,0,20,0,0,20,1,1,19,-1,0,20,1,1,19,1,2,18,0,2,18,-1,1,19,-1,0,20,4,4,16,-1,3,17,4,7,13,0,7,13,,1,8,12,0,8,12,,,,
中正區,捷運公館站(1號出口),12,,0,12,0,0,12,0,0,12,,0,0,12,0,0,12,0,0,12,1,1,11,0,1,11,-1,0,12,1,1,11,-1,0,12,2,2,10,3,5,7,-4,1,11,4,5,7,1,6,6,0,6,6,0,6,6,,-2,4,8,0,4,8,,,,
中正區,捷運公館站(4號出口),12,,4,8,-1,3,9,0,3,9,,-3,0,12,0,0,12,1,1,11,1,2,10,-1,1,11,0,1,11,0,1,11,0,1,11,4,5,7,-2,3,9,4,7,5,0,7,5,-3,4,8,5,9,3,1,10,2,,1,11,1,1,12,0,,,,
大安區,和平復興路口西北側,9,,8,1,0,8,1,0,8,1,,-7,1,8,-1,0,9,0,0,9,0,0,9,0,0,9,0,0,9,2,2,7,0,2,7,6,8,1,1,9,0,-7,2,7,3,5,4,4,9,0,-1,8,1,0,8,1,,1,9,0,-3,6,3,,,,
大安區,新生南路三段66號前,20,,0,20,0,0,20,0,0,20,,0,0,20,0,0,20,1,1,19,3,4,16,0,4,16,0,4,16,-3,1,19,0,1,19,0,1,19,1,2,18,13,15,5,-2,13,7,-3,10,10,-8,2,18,0,2,18,,-1,1,19,0,1,19,,,,
大安區,捷運公館站(2號出口),60,,27,19,0,27,19,0,27,19,,-27,0,60,4,4,56,-4,0,60,7,7,53,-6,1,59,-1,0,60,4,4,56,20,24,36,-22,2,45,15,17,23,-9,8,26,-6,2,36,10,12,22,3,15,21,4,19,21,,5,24,17,-7,17,24,,,17,24
大安區,辛亥泰順街口,23,,15,8,0,15,8,0,15,8,,-14,1,22,-1,0,23,0,0,23,1,1,22,-1,0,23,0,0,23,0,0,23,1,1,22,0,1,22,1,2,21,4,6,17,4,10,13,2,12,11,2,14,9,0,14,9,,1,15,8,-7,8,15,,,,
臺大專區,臺大博理館西側,10,,0,10,0,0,10,1,1,9,,9,10,0,-8,2,8,-1,1,9,1,2,8,2,4,6,-4,0,10,5,5,5,-4,1,9,-1,0,10,0,0,10,2,2,8,0,2,8,-2,0,10,0,0,10,0,0,10,,0,0,10,0,0,10,,,,
